Date,Open,High,Low,Close,Adj Close,Volume
2019-02-25,99.192108,99.192108,99.192108,99.192108,99.192108,0
2019-02-26,99.192108,99.192108,99.192108,99.192108,99.192108,0
2019-02-27,99.211937,99.211937,99.211937,99.211937,99.211937,0
2019-02-28,99.241676,99.241676,99.241676,99.221848,99.221848,107
2019-03-01,99.241676,99.241676,99.241676,99.221848,99.221848,3228
2019-03-04,99.231773,99.231773,99.231773,99.231773,99.231773,0
2019-03-05,99.231773,99.231773,99.231773,99.231773,99.231773,0
2019-03-06,99.281342,99.281342,99.281342,99.271431,99.271431,111
2019-03-07,99.301170,99.301170,99.301170,99.271431,99.271431,807
2019-03-08,99.301170,99.301170,99.301170,99.271431,99.271431,465
2019-03-11,99.291252,99.291252,99.291252,99.291252,99.291252,0
2019-03-12,99.291252,99.291252,99.291252,99.291252,99.291252,0
2019-03-13,99.301170,99.301170,99.301170,99.301170,99.301170,0
2019-03-14,99.311081,99.311081,99.311081,99.311081,99.311081,0
2019-03-15,99.330910,99.330910,99.330910,99.330910,99.330910,0
2019-03-18,99.360649,99.360649,99.360649,99.340820,99.340820,1009
2019-03-19,99.320999,99.380478,99.320999,99.350739,99.350739,251859
2019-03-20,99.380478,99.380478,99.380478,99.360649,99.360649,50
2019-03-21,99.370567,99.370567,99.370567,99.370567,99.370567,0
2019-03-22,99.420143,99.420143,99.420143,99.390404,99.390404,51196
2019-03-25,99.400307,99.400307,99.400307,99.400307,99.400307,0
2019-03-26,99.410217,99.410217,99.410217,99.410217,99.410217,0
2019-03-27,99.420143,99.420143,99.420143,99.420143,99.420143,0
2019-03-28,99.439972,99.459801,99.439972,99.430054,99.430054,61859
2019-03-29,99.479622,99.539108,99.479622,99.449883,99.449883,20233
2019-04-01,99.479622,99.479622,99.479622,99.449883,99.449883,17487
2019-04-02,99.469711,99.469711,99.469711,99.469711,99.469711,0
2019-04-03,99.499451,99.499451,99.499451,99.469711,99.469711,754
2019-04-04,99.519279,99.519279,99.519279,99.489540,99.489540,6564
2019-04-05,99.519279,99.519279,99.519279,99.489540,99.489540,807
2019-04-08,99.489540,99.489540,99.489540,99.489540,99.489540,0
2019-04-09,99.479622,99.479622,99.479622,99.509369,99.509369,3611
2019-04-10,99.539108,99.539108,99.479622,99.509369,99.509369,79
2019-04-11,99.499451,99.499451,99.499451,99.519279,99.519279,10
2019-04-12,99.539108,99.539108,99.499451,99.519279,99.519279,10070
2019-04-15,99.549019,99.549019,99.549019,99.549019,99.549019,0
2019-04-16,99.558937,99.578773,99.558937,99.539108,99.539108,113432
2019-04-17,99.618423,99.618423,99.499451,99.588676,99.588676,27697
2019-04-18,99.618423,99.618423,99.598602,99.568848,99.568848,27836
2019-04-23,99.598602,99.618423,99.598602,99.598602,99.598602,28863
