RSSD9001,RSSD9050,RSSD9999,RSSDSubmissionDate,RSSD9055,RSSDOTSDocketNumber,RSSD9042,RSSD9017,RSSDFinInstAddress,RSSD9130,RSSD9200,RSSD9220,RSSDFinInstFilingType,RCFN5513,RCFNK260,RCFNK290,RCFNB554,RCFNB555,RCFNB553,RCFN2650,RCFN2625,RCFNGW43,RCFNB902,RCFNB903,RCFNB900,RCFNB901,RCFNK293,RCFNK291,RCFNK292,RCFNK296,RCFNK294,RCFNK295,RCFNK289,RCFN6631,RCFNB572,RCFNB573,RCFNB574,RCFN3404,RCFN3360,RCFNA245,RCFN6636,RCFNF235,RCFN2200,RCFNF234,RCFN2133,RCFN2898,RCFN3542,RCFN3543
457,10202,09/30/2022,28OCT2022:15:41:42,0,0,91208332,LOWRY STATE BANK,400 FLORENCE AVE.,LOWRY,MN,56349,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,10202,12/31/2022,28JAN2023:00:08:42,0,0,91208332,LOWRY STATE BANK,400 FLORENCE AVE.,LOWRY,MN,56349,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,10202,03/31/2023,28APR2023:19:19:32,0,0,91208332,LOWRY STATE BANK,400 FLORENCE AVE.,LOWRY,MN,56349,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,6959,03/31/2022,29APR2022:07:46:33,1253,0,21304675,BALLSTON SPA NATIONAL BANK,87 FRONT STREET,BALLSTON SPA,NY,12020,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,6959,06/30/2022,28JUL2022:14:06:51,1253,0,21304675,BALLSTON SPA NATIONAL BANK,87 FRONT STREET,BALLSTON SPA,NY,12020,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,6959,09/30/2022,25OCT2022:07:59:53,1253,0,21304675,BALLSTON SPA NATIONAL BANK,87 FRONT STREET,BALLSTON SPA,NY,12020,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,6959,12/31/2022,10MAR2023:08:38:51,1253,0,21304675,BALLSTON SPA NATIONAL BANK,87 FRONT STREET,BALLSTON SPA,NY,12020,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,6959,03/31/2023,27APR2023:14:23:13,1253,0,21304675,BALLSTON SPA NATIONAL BANK,87 FRONT STREET,BALLSTON SPA,NY,12020,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,17639,03/31/2022,01MAY2022:02:01:05,0,0,104900116,FIRST STATE BANK & TRUST COMPANY,1005 EAST 23RD,FREMONT,NE,68025,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,17639,06/30/2022,27JUL2022:12:51:13,0,0,104900116,FIRST STATE BANK & TRUST COMPANY,1005 EAST 23RD,FREMONT,NE,68025,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,17639,09/30/2022,29OCT2022:18:50:42,0,0,104900116,FIRST STATE BANK & TRUST COMPANY,1005 EAST 23RD,FREMONT,NE,68025,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,17639,12/31/2022,08MAR2023:15:29:47,0,0,104900116,FIRST STATE BANK & TRUST COMPANY,1005 EAST 23RD,FREMONT,NE,68025,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,17639,03/31/2023,27APR2023:14:17:39,0,0,104900116,FIRST STATE BANK & TRUST COMPANY,1005 EAST 23RD,FREMONT,NE,68025,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351,9392,03/31/2022,18APR2022:17:24:52,0,0,81513969,BANK OF GRANDIN,403 5TH STREET,GRANDIN,MO,63943,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351,9392,06/30/2022,12JUL2022:17:04:08,0,0,81513969,BANK OF GRANDIN,403 5TH STREET,GRANDIN,MO,63943,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351,9392,09/30/2022,18OCT2022:14:30:32,0,0,81513969,BANK OF GRANDIN,403 5TH STREET,GRANDIN,MO,63943,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351,9392,12/31/2022,26JAN2023:15:07:49,0,0,81513969,BANK OF GRANDIN,403 5TH STREET,GRANDIN,MO,63943,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351,9392,03/31/2023,26MAY2023:15:25:49,0,0,81513969,BANK OF GRANDIN,403 5TH STREET,GRANDIN,MO,63943,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454,19184,03/31/2022,27APR2022:12:06:02,15359,0,102301199,HILLTOP NATIONAL BANK,300 COUNTRY CLUB ROAD,CASPER,WY,82609,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454,19184,06/30/2022,27JUL2022:19:07:50,15359,0,102301199,HILLTOP NATIONAL BANK,300 COUNTRY CLUB ROAD,CASPER,WY,82609,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454,19184,09/30/2022,26OCT2022:17:22:50,15359,0,102301199,HILLTOP NATIONAL BANK,300 COUNTRY CLUB ROAD,CASPER,WY,82609,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454,19184,12/31/2022,30JAN2023:12:41:57,15359,0,102301199,HILLTOP NATIONAL BANK,300 COUNTRY CLUB ROAD,CASPER,WY,82609,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1454,19184,03/31/2023,28APR2023:11:42:17,15359,0,102301199,HILLTOP NATIONAL BANK,300 COUNTRY CLUB ROAD,CASPER,WY,82609,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,3384,03/31/2022,20APR2022:14:10:12,13541,0,111900578,"LIBERTY NATIONAL BANK IN PARIS, THE",305 LAMAR AVENUE,PARIS,TX,75460,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,3384,06/30/2022,15JUL2022:12:13:46,13541,0,111900578,"LIBERTY NATIONAL BANK IN PARIS, THE",305 LAMAR AVENUE,PARIS,TX,75460,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,3384,09/30/2022,14OCT2022:17:15:57,13541,0,111900578,"LIBERTY NATIONAL BANK IN PARIS, THE",305 LAMAR AVENUE,PARIS,TX,75460,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,3384,12/31/2022,19JAN2023:11:59:00,13541,0,111900578,"LIBERTY NATIONAL BANK IN PARIS, THE",305 LAMAR AVENUE,PARIS,TX,75460,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,3384,03/31/2023,14APR2023:15:12:42,13541,0,111900578,"LIBERTY NATIONAL BANK IN PARIS, THE",305 LAMAR AVENUE,PARIS,TX,75460,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,22430,03/31/2022,27APR2022:13:18:01,0,0,103105446,WASHITA STATE BANK,701 S HIGHWAY 44,BURNS FLAT,OK,73624,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,22430,06/30/2022,27JUL2022:15:25:26,0,0,103105446,WASHITA STATE BANK,701 S HIGHWAY 44,BURNS FLAT,OK,73624,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,22430,09/30/2022,26OCT2022:16:45:17,0,0,103105446,WASHITA STATE BANK,701 S HIGHWAY 44,BURNS FLAT,OK,73624,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,22430,12/31/2022,24JAN2023:15:58:41,0,0,103105446,WASHITA STATE BANK,701 S HIGHWAY 44,BURNS FLAT,OK,73624,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,22430,03/31/2023,28APR2023:12:34:47,0,0,103105446,WASHITA STATE BANK,701 S HIGHWAY 44,BURNS FLAT,OK,73624,051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2161,23597,03/31/2022,03MAY2022:11:44:16,17106,0,111909870,LAMAR NATIONAL BANK,200 S. COLEGIATE DRIVE,PARIS,TX,75460,041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2161,23597,06/30/2022,29JUL2022:15:48:38,17106,0,111909870,LAMAR NATIONAL BANK,200 S. COLEGIATE DRIVE,PARIS,TX,75460,041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2161,23597,09/30/2022,28OCT2022:16:32:25,17106,0,111909870,LAMAR NATIONAL BANK,200 S. COLEGIATE DRIVE,PARIS,TX,75460,041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
