RSSD9001,RSSD9017,RSSD9999,RCFD2170
272058,STATE BANK OF BELLINGHAM,03/31/2022,0.0
272151,"GRANGER NATIONAL BANK, THE",03/31/2022,0.0
272272,SOUTHERN BANK,03/31/2022,0.0
272302,INSTITUTION FOR SAVINGS IN NEWBURYPORT AND ITS VICINITY,03/31/2022,0.0
273336,"BANK OF TAMPA, THE",03/31/2022,0.0
273550,"CITIZENS STATE BANK, THE",03/31/2022,0.0
273653,CONCORDE BANK,03/31/2022,0.0
273662,FIRST STATE BANK OF UVALDE,03/31/2022,0.0
273840,COMMUNITY FIRST BANK OF THE HEARTLAND,03/31/2022,0.0
273859,FARMERS AND MERCHANTS BANK,03/31/2022,0.0
274025,MT. VICTORY STATE BANK,03/31/2022,0.0
274052,"FARMERS AND MERCHANTS BANK OF MOUND CITY, KANSAS",03/31/2022,0.0
274548,NORTHWESTERN BANK,03/31/2022,0.0
274829,TRUPOINT BANK,03/31/2022,0.0
274856,CITIZENS STATE BANK OF ARLINGTON,03/31/2022,0.0
275255,BANNER CAPITAL BANK,03/31/2022,0.0
275358,AMERICAN BANK & TRUST,03/31/2022,0.0
275479,COMMONWEALTH COOPERATIVE BANK,03/31/2022,0.0
275657,"FIRST STATE BANK, THE",03/31/2022,0.0
276074,SENECA SAVINGS,03/31/2022,0.0
276159,SOUTHWIND BANK,03/31/2022,0.0
276551,FIRST NATIONAL BANK OF HUGO,03/31/2022,0.0
276579,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION",03/31/2022,0.0
276645,AMERICAN STATE BANK,03/31/2022,0.0
276654,FIRST FARMERS & MERCHANTS STATE BANK,03/31/2022,0.0
276850,SECURITY FIRST BANK,03/31/2022,0.0
276953,COMMUNITY BANK,03/31/2022,0.0
277240,FIRST NATIONS BANK,03/31/2022,0.0
277277,SSB BANK,03/31/2022,0.0
277679,INTERSTATE FEDERAL SAVINGS AND LOAN ASSOCIATION,03/31/2022,0.0
277736,PEOPLES BANK OF THE SOUTH,03/31/2022,0.0
277820,PALMETTO STATE BANK,03/31/2022,0.0
278256,"FARMERS STATE BANK OF OAKLEY, KANSAS, THE",03/31/2022,0.0
278555,"STRIDE BANK, NATIONAL ASSOCIATION",03/31/2022,0.0
278733,"CITIZENS BANK OF COCHRAN, THE",03/31/2022,0.0
278751,WESTERN NATIONAL BANK OF CASS LAKE,03/31/2022,0.0
278818,PEOPLES SECURITY BANK AND TRUST COMPANY,03/31/2022,0.0
278872,EAGLE.BANK,03/31/2022,0.0
279105,FLORENCE BANK,03/31/2022,0.0
279842,RIVER BANK,03/31/2022,0.0
279954,CITIZENS ALLIANCE BANK,03/31/2022,0.0
280110,KEYBANK NATIONAL ASSOCIATION,03/31/2022,179082279.0
280138,WEST CENTRAL GEORGIA BANK,03/31/2022,0.0
280352,FIRST BANK,03/31/2022,0.0
280558,"FIRST NATIONAL BANK OF COKATO, THE",03/31/2022,0.0
282075,WASHINGTON FINANCIAL BANK,03/31/2022,0.0
282226,FARMERS AND MERCHANTS BANK OF SOUTH CAROLINA,03/31/2022,0.0
282824,ELDERTON STATE BANK,03/31/2022,0.0
283157,STATE BANK OF DANVERS,03/31/2022,0.0
283438,LIBERTY BANK AND TRUST COMPANY,03/31/2022,0.0
283652,"TRIAD BANK, NATIONAL ASSOCIATION",03/31/2022,0.0
283737,FIRST NATIONAL BANK OF TENNESSEE,03/31/2022,0.0
283867,WALLIS BANK,03/31/2022,0.0
284154,OKLAHOMA CAPITAL BANK,03/31/2022,0.0
284239,BANK OF PERRY COUNTY,03/31/2022,0.0
284556,CATTLEMENS BANK,03/31/2022,0.0
284752,NORTHWOODS BANK OF MINNESOTA,03/31/2022,0.0
284958,FIRST STATE BANK,03/31/2022,0.0
285151,"COLORADO BANK AND TRUST COMPANY OF LA JUNTA, THE",03/31/2022,0.0
285348,STATE BANK,03/31/2022,0.0
285544,CAPITOL NATIONAL BANK,03/31/2022,0.0
285553,"SECURITY STATE BANK, THE",03/31/2022,0.0
285740,"PADUCAH BANK AND TRUST COMPANY, THE",03/31/2022,0.0
285777,NOKOMIS SAVINGS BANK,03/31/2022,0.0
285852,FIRST OPTION BANK,03/31/2022,0.0
285928,PEOPLES BANK THE,03/31/2022,0.0
286251,BANK OF VICI,03/31/2022,0.0
286840,STATE SAVINGS BANK,03/31/2022,0.0
287007,"PUTNAM COUNTY NATIONAL BANK OF CARMEL, THE",03/31/2022,0.0
287342,"READLYN SAVINGS BANK, THE",03/31/2022,0.0
287856,"AMERICAN BANK, THE",03/31/2022,0.0
287922,"PEOPLES SAVINGS BANK, THE",03/31/2022,0.0
287959,KANSAS STATE BANK,03/31/2022,0.0
288152,"FIRST NATIONAL BANK OF FREDERICK, THE",03/31/2022,0.0
288376,PINNACLE BANK,03/31/2022,0.0
288853,FIRSTBANK,03/31/2022,0.0
289056,"NORTHERN INTERSTATE BANK, NATIONAL ASSOCIATION",03/31/2022,0.0
289225,"UNION BANKING COMPANY, THE",03/31/2022,0.0
289515,FARMERS AND MERCHANTS TRUST COMPANY OF CHAMBERSBURG,03/31/2022,0.0
289702,NORWAY SAVINGS BANK,03/31/2022,0.0
289739,GUARANTY BANK AND TRUST COMPANY,03/31/2022,0.0
289757,MERCHANTS STATE BANK,03/31/2022,0.0
290249,WAUKESHA STATE BANK,03/31/2022,0.0
290838,MERIT BANK,03/31/2022,0.0
290922,"NATIONAL BANK OF ADAMS COUNTY OF WEST UNION, THE",03/31/2022,0.0
291059,BANK OF HYDRO,03/31/2022,0.0
291330,FIRST BANK,03/31/2022,0.0
291376,JACKSON FEDERAL SAVINGS & LOAN ASSOCIATION,03/31/2022,0.0
291611,HAMLIN BANK AND TRUST COMPANY,03/31/2022,0.0
291732,FARMERS & MERCHANTS BANK,03/31/2022,0.0
292234,FIRST FINANCIAL BANK,03/31/2022,0.0
292467,POINTWEST BANK,03/31/2022,0.0
292850,"FIRST NATIONAL BANK OF WAKEFIELD, THE",03/31/2022,0.0
292908,"EVANS BANK, NATIONAL ASSOCIATION",03/31/2022,0.0
293053,COMMUNITY NATIONAL BANK,03/31/2022,0.0
293352,ADRIAN STATE BANK,03/31/2022,0.0
293437,"CITIZENS BANK OF WINFIELD, THE",03/31/2022,0.0
293651,CAMPBELL COUNTY BANK,03/31/2022,0.0
293754,STATE BANK OF SOUTHWEST MISSOURI,03/31/2022,0.0
294023,FIRST STATE BANK,03/31/2022,0.0
294564,FIRST BANK & TRUST,03/31/2022,0.0
294751,"CITY NATIONAL BANK AND TRUST COMPANY OF LAWTON, OKLAHOMA, THE",03/31/2022,0.0
294779,TIMBERLAND BANK,03/31/2022,0.0
294827,"PIONEER COMMUNITY BANK, INC.",03/31/2022,0.0
295011,GREENVILLE NATIONAL BANK,03/31/2022,0.0
295057,SECURITY BANK MINNESOTA,03/31/2022,0.0
295646,FARMERS STATE BANK OF MEDORA,03/31/2022,0.0
296456,FIRSTBANK,03/31/2022,0.0
296474,"HOME SAVINGS AND LOAN COMPANY OF KENTON, THE",03/31/2022,0.0
296559,COMMERCIAL BANK,03/31/2022,0.0
296755,CITIZENS STATE BANK,03/31/2022,0.0
296858,"FIRST NATIONAL BANK OF LINDSAY, THE",03/31/2022,0.0
297051,PATRIOTS BANK,03/31/2022,0.0
297631,CREWS BANK & TRUST,03/31/2022,0.0
297761,MONTEREY COUNTY BANK,03/31/2022,0.0
298049,IOWA STATE BANK,03/31/2022,0.0
298218,WATERTOWN SAVINGS BANK,03/31/2022,0.0
298245,"CITY NATIONAL BANK OF METROPOLIS, THE",03/31/2022,0.0
299868,COMMUNITY COMMERCE BANK,03/31/2022,0.0
300009,PASSUMPSIC SAVINGS BANK,03/31/2022,0.0
300063,"NEW OMNI BANK, NATIONAL ASSOCIATION",03/31/2022,0.0
300157,VALLEY EXCHANGE BANK,03/31/2022,0.0
300353,"SHAMROCK BANK, NATIONAL ASSOCIATION",03/31/2022,0.0
300456,PIQUA STATE BANK,03/31/2022,0.0
300933,PLANTERS FIRST BANK,03/31/2022,0.0
300942,PIONEER BANK,03/31/2022,0.0
300960,BANK OF IDAHO,03/31/2022,0.0
301574,LAKE SHORE SAVINGS BANK,03/31/2022,0.0
301800,ULSTER SAVINGS BANK,03/31/2022,0.0
302030,BANK OF BELLE GLADE,03/31/2022,0.0
302133,CAMP GROVE STATE BANK,03/31/2022,0.0
302553,PLAINS STATE BANK,03/31/2022,0.0
302656,MINNWEST BANK,03/31/2022,0.0
303653,FIRST STATE BANK OF BURNET,03/31/2022,0.0
303701,WELLS RIVER SAVINGS BANK,03/31/2022,0.0
303747,"FIRST BANK AND TRUST COMPANY OF MURPHYSBORO, THE",03/31/2022,0.0
303952,FARMERS BANK OF NORTHERN MISSOURI,03/31/2022,0.0
304173,MARQUETTE SAVINGS BANK,03/31/2022,0.0
304520,CHESAPEAKE BANK & TRUST COMPANY,03/31/2022,0.0
304575,SIDNEY FEDERAL SAVINGS AND LOAN ASSOCIATION,03/31/2022,0.0
304762,"SECURITY STATE BANK, THE",03/31/2022,0.0
304913,DEUTSCHE BANK TRUST COMPANY DELAWARE,03/31/2022,0.0
305059,"FIRST STATE BANK, THE",03/31/2022,0.0
305077,PERU FEDERAL SAVINGS BANK,03/31/2022,0.0
305237,"GEO. D. WARTHEN BANK, THE",03/31/2022,0.0
305442,"NEW WASHINGTON STATE BANK, THE",03/31/2022,0.0
306056,"FIRST NATIONAL BANK OF FLEMING, THE",03/31/2022,0.0
306140,SECURITY STATE BANK,03/31/2022,0.0
306159,AMERICAN NATIONAL BANK OF MINNESOTA,03/31/2022,0.0
306337,CASEY STATE BANK,03/31/2022,0.0
306908,JEFF BANK,03/31/2022,0.0
307062,FARMERS BANK,03/31/2022,0.0
307334,SOUTHERN BANK,03/31/2022,0.0
307361,AMERICAN BANK NATIONAL ASSOCIATION,03/31/2022,0.0
307679,BANK OF THE PACIFIC,03/31/2022,0.0
307932,CATLIN BANK,03/31/2022,0.0
308256,CENBANK,03/31/2022,0.0
308340,BATH STATE BANK,03/31/2022,0.0
308836,BANK OF BOURBONNAIS,03/31/2022,0.0
309150,"MISSOURI BANK, THE",03/31/2022,0.0
309655,REGENT BANK,03/31/2022,0.0
309851,ROOT RIVER STATE BANK,03/31/2022,0.0
310754,AMERICAN EQUITY BANK,03/31/2022,0.0
310950,FIRST NATIONAL BANK IN OKEENE,03/31/2022,0.0
310978,WATERSTONE BANK,03/31/2022,0.0
311050,AMERICAN HERITAGE BANK,03/31/2022,0.0
311144,BANK OF BEARDEN,03/31/2022,0.0
311256,GRANITE BANK,03/31/2022,0.0
311265,"YOAKUM NATIONAL BANK, THE",03/31/2022,0.0
311603,DIME BANK,03/31/2022,0.0
311658,"FIRST NATIONAL BANK OF COLERAINE, THE",03/31/2022,0.0
311845,ARVEST BANK,03/31/2022,0.0
311939,WASHINGTON STATE BANK,03/31/2022,0.0
312244,FIRST BANK OF BERNE,03/31/2022,0.0
312356,"CORNERSTONE BANK, THE",03/31/2022,0.0
313009,"UPSTATE NATIONAL BANK, THE",03/31/2022,0.0
313157,"SEILING STATE BANK, THE",03/31/2022,0.0
313223,OSGOOD BANK,03/31/2022,0.0
313577,FORWARD BANK,03/31/2022,0.0
314257,DEERWOOD BANK,03/31/2022,0.0
314444,FBT BANK & MORTGAGE,03/31/2022,0.0
315656,FIRST ENTERPRISE BANK,03/31/2022,0.0
316840,REPUBLIC BANK & TRUST COMPANY,03/31/2022,0.0
316859,"EXCHANGE BANK, THE",03/31/2022,0.0
316934,BUCKLEY STATE BANK,03/31/2022,0.0
317258,WEST PLAINS BANK AND TRUST COMPANY,03/31/2022,0.0
317342,STOCK YARDS BANK & TRUST COMPANY,03/31/2022,0.0
317379,HOME FEDERAL SAVINGS AND LOAN ASSOCIATION OF GRAND ISLAND,03/31/2022,0.0
317650,"CITIZENS STATE BANK, GANADO, TEXAS",03/31/2022,0.0
318639,BANK OF CHESTNUT,03/31/2022,0.0
318974,FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF LAKEWOOD,03/31/2022,0.0
319047,"RIDDELL NATIONAL BANK, THE",03/31/2022,0.0
319458,"FIRST NATIONAL BANK OF STIGLER, THE",03/31/2022,0.0
319551,SECURITY STATE BANK,03/31/2022,0.0
320034,PEOPLES BANK OF GREENSBORO,03/31/2022,0.0
320052,LEGACY BANK,03/31/2022,0.0
320070,VALLEY CENTRAL BANK,03/31/2022,0.0
320119,ISRAEL DISCOUNT BANK OF NEW YORK,03/31/2022,0.0
321152,LINEAGE BANK,03/31/2022,0.0
321255,FIRST AMERICAN BANK,03/31/2022,0.0
321273,AFFINITY BANK,03/31/2022,0.0
321330,FARMERS AND MERCHANTS STATE BANK OF BUSHNELL,03/31/2022,0.0
321947,"FCN BANK, NATIONAL ASSOCIATION",03/31/2022,0.0
322449,COMMUNITY STATE BANK,03/31/2022,0.0
322476,WABASH SAVINGS BANK,03/31/2022,0.0
322551,FIRST SECURITY BANK,03/31/2022,0.0
323204,"LYONS NATIONAL BANK, THE",03/31/2022,0.0
323651,GILMER NATIONAL BANK,03/31/2022,0.0
324153,FIRST NATIONAL BANK OF GIDDINGS,03/31/2022,0.0
324229,"WATERFORD COMMERCIAL AND SAVINGS BANK, THE",03/31/2022,0.0
324256,OKLAHOMA STATE BANK,03/31/2022,0.0
324340,CHOICEONE BANK,03/31/2022,0.0
324854,BANK OF CROCKETT,03/31/2022,0.0
324863,"BANK OF COMMERCE, THE",03/31/2022,0.0
324975,DEWITT SAVINGS BANK,03/31/2022,0.0
325141,FARMERS BANK,03/31/2022,0.0
325459,FIRST STATE BANK IN TEMPLE,03/31/2022,0.0
325534,BYRON BANK,03/31/2022,0.0
326054,SILVER LAKE BANK,03/31/2022,0.0
326344,"PEOPLES STATE BANK OF NEWTON, ILLINOIS, THE",03/31/2022,0.0
326858,"FIRST NATIONAL BANK IN SIOUX FALLS, THE",03/31/2022,0.0
326979,GREENFIELD CO-OPERATIVE BANK,03/31/2022,0.0
327220,FARMERS STATE BANK,03/31/2022,0.0
327305,KATAHDIN TRUST COMPANY,03/31/2022,0.0
327435,UNITED SOUTHERN BANK,03/31/2022,0.0
327556,ANCHOR D BANK,03/31/2022,0.0
327855,CIERA BANK,03/31/2022,0.0
328058,FIRST BANK OF THOMAS,03/31/2022,0.0
328357,"TITAN BANK, N.A.",03/31/2022,0.0
328656,UNITED FARMERS STATE BANK,03/31/2022,0.0
328777,PENN COMMUNITY BANK,03/31/2022,0.0
329149,BANK PLUS,03/31/2022,0.0
329345,GENERATIONS BANK,03/31/2022,0.0
329550,INSOUTH BANK,03/31/2022,0.0
329952,"FIRST NATIONAL BANK OF GRANBURY, THE",03/31/2022,0.0
330239,FIRST NATIONAL BANK,03/31/2022,0.0
330248,FIRST NATIONAL BANK OF NOKOMIS,03/31/2022,0.0
330855,"BANK OF MISSOURI, THE",03/31/2022,0.0
330873,WAKEFIELD CO-OPERATIVE BANK,03/31/2022,0.0
330949,"MORGANTOWN BANK & TRUST COMPANY, INCORPORATED",03/31/2022,0.0
331076,FIRST FEDERAL BANK OF WISCONSIN,03/31/2022,0.0
331375,BANKGLOUCESTER,03/31/2022,0.0
331544,RICHLAND COUNTY BANK,03/31/2022,0.0
331713,NEW TRIPOLI BANK,03/31/2022,0.0
332224,MECHANICS & FARMERS BANK,03/31/2022,0.0
332345,OAKDALE STATE BANK,03/31/2022,0.0
332402,ENVISION BANK,03/31/2022,0.0
332671,"MORGANTON SAVINGS BANK, S.S.B.",03/31/2022,0.0
332756,ADAMS STATE BANK,03/31/2022,0.0
333034,STATE BANK OF COCHRAN,03/31/2022,0.0
333203,UNION BANK,03/31/2022,0.0
333650,"BANK, THE",03/31/2022,0.0
333856,GRANDVIEW BANK,03/31/2022,0.0
333940,"FIRST NATIONAL BANK OF OKAWVILLE, THE",03/31/2022,0.0
334264,FIRST COMMUNITY BANK,03/31/2022,0.0
335346,PARTNERS BANK,03/31/2022,0.0
336147,UNITED CITIZENS BANK & TRUST COMPANY,03/31/2022,0.0
336361,SANGER BANK,03/31/2022,0.0
336576,"EQUITABLE BANK, S.S.B., THE",03/31/2022,0.0
336950,ASHTON STATE BANK,03/31/2022,0.0
337340,HERITAGE BANK OF SCHAUMBURG,03/31/2022,0.0
338646,TRUSTBANK,03/31/2022,0.0
338851,CAMBRIDGE STATE BANK,03/31/2022,0.0
338945,1ST COMMUNITY BANK,03/31/2022,0.0
339072,"COLONIAL SAVINGS, FA",03/31/2022,0.0
339353,FIRST SECURITY BANK - CANBY,03/31/2022,0.0
339456,FIRST COMMUNITY BANK,03/31/2022,0.0
339607,SACO & BIDDEFORD SAVINGS INSTITUTION,03/31/2022,0.0
339773,NEEDHAM BANK,03/31/2022,0.0
339858,"BOKF, NATIONAL ASSOCIATION",03/31/2022,0.0
339876,FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION,03/31/2022,0.0
340135,BANK OF TENNESSEE,03/31/2022,0.0
340144,PEOPLES STATE BANK,03/31/2022,0.0
340256,21ST CENTURY BANK,03/31/2022,0.0
340443,FIRST NATIONAL BANK IN PINCKNEYVILLE,03/31/2022,0.0
340742,CIBM BANK,03/31/2022,0.0
340751,FIRST NATIONAL BANK OF ALBANY/BRECKENRIDGE,03/31/2022,0.0
341310,WALDEN SAVINGS BANK,03/31/2022,0.0
342054,PHELPS COUNTY BANK,03/31/2022,0.0
342362,"FIRST NATIONAL BANK OF SHINER, THE",03/31/2022,0.0
342410,ORRSTOWN BANK,03/31/2022,0.0
342634,TRUSTMARK NATIONAL BANK,03/31/2022,0.0
343051,BANK OF EUFAULA,03/31/2022,0.0
343248,"FIRST NATIONAL BANK OF PRIMGHAR, THE",03/31/2022,0.0
343770,NASHVILLE SAVINGS BANK,03/31/2022,0.0
343903,ADAMS COMMUNITY BANK,03/31/2022,0.0
343958,CURRIE STATE BANK,03/31/2022,0.0
344647,"FIRST BANKERS TRUST COMPANY, NATIONAL ASSOCIATION",03/31/2022,0.0
344852,PERENNIAL BANK,03/31/2022,0.0
345309,CHELSEA GROTON BANK,03/31/2022,0.0
345345,"AMERICAN BANK, NATIONAL ASSOCIATION",03/31/2022,0.0
345747,STATE BANK,03/31/2022,0.0
345756,"FIRST STATE BANK OF ST. CHARLES, MISSOURI",03/31/2022,0.0
345877,CENTURY NEXT BANK,03/31/2022,0.0
346379,FIRST FEDERAL COMMUNITY BANK OF BUCYRUS,03/31/2022,0.0
346566,FIRST NATIONAL BANK OF SOUTH PADRE ISLAND,03/31/2022,0.0
346771,FIRST FEDERAL SAVINGS BANK OF CHAMPAIGN-URBANA,03/31/2022,0.0
347022,FIRST NATIONAL BANK OF SOUTH CAROLINA,03/31/2022,0.0
347639,DEVON BANK,03/31/2022,0.0
347956,"VAST BANK, N.A.",03/31/2022,0.0
348159,I3 BANK,03/31/2022,0.0
348720,FARMERS AND MERCHANTS BANK,03/31/2022,0.0
349129,"COMMERCIAL BANK, THE",03/31/2022,0.0
349343,TOWN AND COUNTRY BANK MIDWEST,03/31/2022,0.0
350572,1ST UNITED BANK,03/31/2022,0.0
350657,1ST BANK IN HOMINY,03/31/2022,0.0
350750,NORTH VALLEY BANK,03/31/2022,0.0
351131,BANK OF BREWTON,03/31/2022,0.0
351560,SUMMIT BANK,03/31/2022,0.0
351878,AROOSTOOK COUNTY FEDERAL SAVINGS & LOAN ASSOCIATION,03/31/2022,0.0
352370,SOUTHERN HILLS COMMUNITY BANK,03/31/2022,0.0
352651,BOC BANK,03/31/2022,0.0
352745,STATE STREET BANK AND TRUST COMPANY,03/31/2022,0.0
352772,BANNER BANK,03/31/2022,0.0
353238,CENTRAL STATE BANK,03/31/2022,0.0
353546,"FIRST NATIONAL BANK IN TREMONT, THE",03/31/2022,0.0
353555,AMARILLO NATIONAL BANK,03/31/2022,0.0
353957,"FIRST FARMERS NATIONAL BANK OF WAURIKA, THE",03/31/2022,0.0
354057,FIRST NATIONAL BANK OF ALVIN,03/31/2022,0.0
354253,SUNRISE BANK DAKOTA,03/31/2022,0.0
354310,UNIVEST BANK AND TRUST CO.,03/31/2022,0.0
354552,COMMUNITY NATIONAL BANK,03/31/2022,0.0
354851,"STATE EXCHANGE BANK, THE",03/31/2022,0.0
355120,CAROLINA BANK & TRUST COMPANY,03/31/2022,0.0
355559,RANGE BANK,03/31/2022,0.0
355858,FIRST NATIONAL BANK,03/31/2022,0.0
356239,CITIZENS STATE BANK,03/31/2022,0.0
356659,SOLOMON STATE BANK,03/31/2022,0.0
356752,CITIZENS STATE BANK,03/31/2022,0.0
357526,DAVIS TRUST COMPANY,03/31/2022,0.0
357553,FIRST PIONEER NATIONAL BANK,03/31/2022,0.0
357777,GREENVILLE SAVINGS BANK,03/31/2022,0.0
357937,CITIZENS BANK AND TRUST COMPANY,03/31/2022,0.0
358112,COMMERCIAL BANK,03/31/2022,0.0
358448,MAYVILLE STATE BANK,03/31/2022,0.0
358756,TAMPA STATE BANK,03/31/2022,0.0
359472,HOMEWOOD FEDERAL SAVINGS BANK,03/31/2022,0.0
359650,"ALDEN STATE BANK, THE",03/31/2022,0.0
359744,WHITE STATE BANK,03/31/2022,0.0
360777,"JACKSON SAVINGS BANK, SSB",03/31/2022,0.0
361055,COREFIRST BANK & TRUST,03/31/2022,0.0
361167,SOUTHSIDE BANK,03/31/2022,0.0
361279,"COMMUNITY BANK, LEXINGTON, TENNESSEE",03/31/2022,0.0
361354,GRANT COUNTY BANK,03/31/2022,0.0
361439,ANDREW JOHNSON BANK,03/31/2022,0.0
362043,"EXCHANGE STATE BANK, THE",03/31/2022,0.0
362155,"FIRST NATIONAL BANK OF ANDERSON, THE",03/31/2022,0.0
362717,"CROGHAN COLONIAL BANK, THE",03/31/2022,0.0
362856,"BIG BEND BANKS, N.A. DBA MARFA NATIONAL BANK, THE",03/31/2022,0.0
362940,STATE BANK OF ST. JACOB,03/31/2022,0.0
363442,SAINTE MARIE STATE BANK,03/31/2022,0.0
363648,SECURITY TRUST & SAVINGS BANK,03/31/2022,0.0
363657,"FIRST NATIONAL BANK OF BEMIDJI, THE",03/31/2022,0.0
363778,PEOPLES FIRST SAVINGS BANK,03/31/2022,0.0
364131,GREAT OAKS BANK,03/31/2022,0.0
364270,"BANKPACIFIC, LTD.",03/31/2022,190343.0
364430,BANK OF ST. FRANCISVILLE,03/31/2022,0.0
364850,FIRST STATE BANK OF BIGFORK,03/31/2022,0.0
365325,UNITED BANK,03/31/2022,0.0
365745,PINNACLE BANK,03/31/2022,0.0
365848,WILLIAMSVILLE STATE BANK AND TRUST,03/31/2022,0.0
365950,LIMEBANK,03/31/2022,0.0
366078,STURGIS BANK & TRUST COMPANY,03/31/2022,0.0
366238,PINNACLE BANK,03/31/2022,0.0
366247,TEMPLETON SAVINGS BANK,03/31/2022,0.0
366359,"FIRST NATIONAL BANK OF ANSON, THE",03/31/2022,0.0
366658,FIRST INDEPENDENT BANK,03/31/2022,0.0
366854,KENDALL BANK,03/31/2022,0.0
367150,COMMUNITY STATE BANK,03/31/2022,0.0
367178,MIAMI SAVINGS BANK,03/31/2022,0.0
367431,CITIZENS BANK OF THE SOUTH,03/31/2022,0.0
367543,KENTLAND BANK,03/31/2022,0.0
368054,MASON BANK,03/31/2022,0.0
368344,FARMERS SAVINGS BANK & TRUST,03/31/2022,0.0
368522,APOLLO TRUST COMPANY,03/31/2022,0.0
368933,"FIRST NATIONAL BANK OF BEARDSTOWN, THE",03/31/2022,0.0
368951,"KAW VALLEY STATE BANK AND TRUST COMPANY, OF WAMEGO, KANSAS, THE",03/31/2022,0.0
369453,IMPACT BANK,03/31/2022,0.0
369659,FIRST NATIONAL BANK OF CENTRAL TEXAS,03/31/2022,0.0
370020,"PENDLETON COMMUNITY BANK, INC.",03/31/2022,0.0
370347,"FIRST NATIONAL BANK OF LITCHFIELD, THE",03/31/2022,0.0
370721,"FARMERS STATE BANK, THE",03/31/2022,0.0
370833,CARVER STATE BANK,03/31/2022,0.0
370954,"COWBOY BANK OF TEXAS, THE",03/31/2022,0.0
371223,RIVERHILLS BANK,03/31/2022,0.0
371232,FIRST COMMUNITY BANK AND TRUST,03/31/2022,0.0
371362,WELLINGTON STATE BANK,03/31/2022,0.0
371559,COMMUNITY NATIONAL BANK OF OKARCHE,03/31/2022,0.0
371755,"FIRST NATIONAL BANK OF CHISHOLM, THE",03/31/2022,0.0
371849,BANK OF YATES CITY,03/31/2022,0.0
371924,COMMUNITY BANK,03/31/2022,0.0
371942,LIBERTY BANK,03/31/2022,0.0
372444,"LITCHFIELD NATIONAL BANK, THE",03/31/2022,0.0
372538,"EVANGELINE BANK AND TRUST COMPANY, THE",03/31/2022,0.0
372640,FARMERS AND MERCHANTS BANK,03/31/2022,0.0
372855,STRYV BANK,03/31/2022,0.0
373272,COMPASS SAVINGS BANK,03/31/2022,0.0
373553,FIRST BANK AND TRUST OF MEMPHIS,03/31/2022,0.0
373601,UNION COUNTY SAVINGS BANK,03/31/2022,0.0
374130,"CITIZENS BANK, THE",03/31/2022,0.0
374653,FIRST PREMIER BANK,03/31/2022,0.0
374774,SURETY BANK,03/31/2022,0.0
375043,"PEOPLES NATIONAL BANK, NATIONAL ASSOCIATION",03/31/2022,0.0
375379,NORTH SIDE FEDERAL SAVINGS AND LOAN ASSOCIATION OF CHICAGO,03/31/2022,0.0
375502,"PROVIDENT BANK, THE",03/31/2022,0.0
375566,FIRST NATIONAL BANK,03/31/2022,0.0
375650,MENARD BANK,03/31/2022,0.0
376237,MERCHANTS & FARMERS BANK OF GREENE COUNTY,03/31/2022,0.0
376273,"NORTH SHORE BANK, F.S.B.",03/31/2022,0.0
376442,FIRST BANK,03/31/2022,0.0
376947,CITIZENS' BANK OF CHARLESTON,03/31/2022,0.0
377663,FANNIN BANK,03/31/2022,0.0
377850,FIRST SECURITY BANK AND TRUST COMPANY,03/31/2022,0.0
378044,COMMUNITY STATE BANK,03/31/2022,0.0
378110,"PEOPLES BANK, THE",03/31/2022,0.0
379050,STATE BANK OF EASTON,03/31/2022,0.0
379153,"FIRST NATIONAL BANK OF EVANT, THE",03/31/2022,0.0
379470,CANTON CO-OPERATIVE BANK,03/31/2022,0.0
379649,FIRST NATIONAL BANK OF IZARD COUNTY,03/31/2022,0.0
379920,FIRST NATIONAL BANK OF PENNSYLVANIA,03/31/2022,0.0
380346,FARMERS SAVINGS BANK,03/31/2022,0.0
380458,TEXAS REGIONAL BANK,03/31/2022,0.0
380533,LONGVIEW BANK,03/31/2022,0.0
380878,VAN WERT FEDERAL SAVINGS BANK,03/31/2022,0.0
380944,"BANK OF KAUKAUNA, THE",03/31/2022,0.0
381026,"TWIN VALLEY BANK, THE",03/31/2022,0.0
381343,CITIZENS BANK AND TRUST COMPANY,03/31/2022,0.0
381932,COMMERCIAL BANKING COMPANY,03/31/2022,0.0
381950,"FIRST NATIONAL BANK OF SAINT IGNACE, THE",03/31/2022,0.0
382050,CENTRAL SAVINGS BANK,03/31/2022,0.0
382069,INTERNATIONAL BANK OF COMMERCE,03/31/2022,0.0
382256,STANTON STATE BANK,03/31/2022,0.0
382274,KENTLAND FEDERAL SAVINGS AND LOAN ASSOCIATION,03/31/2022,0.0
382443,FARMERS TRUST AND SAVINGS BANK,03/31/2022,0.0
382537,"BANK OF VERNON, THE",03/31/2022,0.0
382649,FIRST SOUTHERN BANK,03/31/2022,0.0
382658,PUTNAM COUNTY STATE BANK,03/31/2022,0.0
382742,BANK MICHIGAN,03/31/2022,0.0
382854,SECURITY BANK OF PULASKI COUNTY,03/31/2022,0.0
384018,WOORI AMERICA BANK,03/31/2022,0.0
384278,FIRST FEDERAL BANK,03/31/2022,0.0
384353,BANK OF STEINAUER,03/31/2022,0.0
384652,"DALLAS CAPITAL BANK, NATIONAL ASSOCIATION",03/31/2022,0.0
