Date,Open,High,Low,Close,Adj Close,Volume
2019-05-23,126.889999,128.089996,126.879997,127.669998,114.914650,9743700
2019-05-24,127.559998,127.779999,127.389999,127.779999,115.013649,4981900
2019-05-28,128.270004,128.899994,128.089996,128.699997,115.841736,8098600
2019-05-29,129.669998,129.899994,129.000000,129.089996,116.192741,13260600
2019-05-30,129.330002,130.229996,128.889999,130.199997,117.191856,13024800
2019-05-31,130.899994,131.899994,130.809998,131.830002,118.659012,18933600
2019-06-03,131.910004,132.580002,131.550003,132.440002,119.452736,17822400
2019-06-04,131.389999,131.759995,130.550003,130.929993,118.090767,14250000
2019-06-05,130.520004,130.949997,130.119995,130.190002,117.423355,8815200
2019-06-06,130.970001,131.589996,130.320007,130.610001,117.802208,9621100
2019-06-07,131.789993,132.070007,131.440002,131.740005,118.821350,11378500
2019-06-10,130.679993,130.699997,130.320007,130.500000,117.702980,8288700
2019-06-11,130.419998,130.759995,130.320007,130.580002,117.775124,5115100
2019-06-12,130.389999,130.750000,130.300003,130.679993,117.865318,5278700
2019-06-13,130.800003,131.250000,130.789993,131.130005,118.271179,5560400
2019-06-14,131.100006,131.710007,131.089996,131.460007,118.568848,5838800
2019-06-17,131.389999,131.759995,131.130005,131.690002,118.776245,6046400
2019-06-18,132.740005,132.860001,131.949997,132.350006,119.371552,10320700
2019-06-19,131.860001,132.720001,131.580002,132.539993,119.542946,11962500
2019-06-20,132.910004,133.509995,132.589996,132.889999,119.858597,10721500
2019-06-21,132.509995,132.529999,131.380005,131.429993,118.541771,14495000
2019-06-24,132.160004,132.529999,132.080002,132.410004,119.425697,6378800
2019-06-25,132.789993,133.089996,132.720001,132.820007,119.795471,9604600
2019-06-26,132.679993,132.699997,131.880005,131.970001,119.028816,12766800
2019-06-27,132.309998,133.089996,131.990005,132.899994,119.867584,9724200
2019-06-28,132.580002,133.080002,132.449997,132.809998,119.786461,8149200
2019-07-01,132.570007,132.750000,131.589996,132.240005,119.506310,14131200
2019-07-02,132.570007,133.389999,132.460007,133.259995,120.428040,10494300
2019-07-03,133.520004,134.289993,133.509995,134.210007,121.286621,5380300
2019-07-05,132.539993,132.550003,131.669998,132.429993,119.677994,12180100
2019-07-08,133.050003,133.220001,132.610001,132.610001,119.840660,6490000
2019-07-09,132.679993,132.710007,132.160004,132.559998,119.795456,6215700
2019-07-10,132.350006,132.440002,131.509995,131.830002,119.135742,9470000
2019-07-11,131.309998,131.410004,129.759995,130.070007,117.545265,14126800
2019-07-12,129.919998,130.449997,129.679993,130.220001,117.680824,6992000
2019-07-15,130.449997,131.050003,130.449997,130.970001,118.358559,6055500
2019-07-16,130.169998,130.600006,129.960007,130.580002,118.006119,6172700
2019-07-17,131.059998,132.020004,131.050003,131.990005,119.280350,9662200
2019-07-18,131.470001,132.320007,131.240005,132.000000,119.289391,5724900
2019-07-19,131.589996,131.929993,131.509995,131.690002,119.009224,5804800
2019-07-22,132.470001,132.490005,131.740005,131.940002,119.235153,5204100
2019-07-23,131.600006,131.740005,130.970001,131.220001,118.584480,8108900
2019-07-24,131.600006,131.899994,131.470001,131.789993,119.099609,6389700
2019-07-25,131.250000,131.410004,130.509995,131.160004,118.530273,8893100
2019-07-26,131.699997,131.779999,131.250000,131.470001,118.810448,6188400
2019-07-29,131.820007,131.949997,131.399994,131.509995,118.846596,6231800
2019-07-30,132.000000,132.100006,131.429993,131.830002,119.135742,5678500
2019-07-31,131.699997,133.330002,131.660004,132.889999,120.093681,15798700
2019-08-01,133.389999,135.389999,133.259995,135.259995,122.478806,26664800
2019-08-02,135.660004,136.509995,135.399994,136.509995,123.610710,15143100
2019-08-05,138.139999,138.889999,137.660004,138.869995,125.747650,18543000
2019-08-06,138.199997,139.979996,138.089996,139.979996,126.752792,12747400
2019-08-07,142.399994,143.059998,139.779999,140.029999,126.798058,32582000
2019-08-08,139.139999,140.429993,137.979996,140.330002,127.069695,14746000
2019-08-09,140.669998,141.550003,139.869995,140.050003,126.816216,10626000
2019-08-12,141.720001,143.429993,141.509995,142.970001,129.460220,14094300
2019-08-13,143.809998,143.910004,141.949997,142.479996,129.016617,15974900
2019-08-14,145.160004,145.729996,144.710007,145.690002,131.923309,15068900
2019-08-15,145.949997,148.600006,145.580002,147.309998,133.390137,23588700
2019-08-16,146.059998,146.509995,144.839996,146.130005,132.321655,17150500
2019-08-19,143.570007,144.660004,143.509995,144.039993,130.429092,13614700
2019-08-20,145.279999,145.619995,144.839996,145.529999,131.778305,7451500
2019-08-21,144.720001,145.789993,144.289993,144.559998,130.899994,9372000
2019-08-22,144.000000,144.699997,143.479996,143.600006,130.030746,13878800
2019-08-23,143.520004,146.270004,143.429993,145.960007,132.167740,16191800
2019-08-26,145.869995,146.289993,145.289993,145.369995,131.633484,12174500
2019-08-27,146.630005,147.720001,146.479996,147.610001,133.661835,11332300
2019-08-28,148.779999,148.899994,147.660004,147.800003,133.833832,10095900
2019-08-29,147.250000,147.339996,146.130005,147.240005,133.326752,8884900
2019-08-30,146.610001,147.479996,146.360001,147.279999,133.362961,13550800
2019-09-03,147.089996,148.669998,146.570007,147.210007,133.535370,15660800
2019-09-04,146.529999,147.619995,146.479996,147.429993,133.734863,7962200
2019-09-05,145.660004,145.800003,143.889999,144.759995,131.312943,19382900
2019-09-06,145.259995,146.029999,145.080002,145.789993,132.247223,9466400
2019-09-09,143.830002,144.000000,143.190002,143.199997,129.897858,15862700
2019-09-10,142.839996,143.289993,140.660004,140.690002,127.621025,13851400
2019-09-11,140.399994,141.149994,140.389999,140.440002,127.394234,10941700
2019-09-12,141.500000,141.800003,139.059998,139.520004,126.559700,19163300
2019-09-13,138.279999,138.710007,136.539993,136.539993,123.856499,18922200
2019-09-16,137.880005,138.570007,137.250000,138.279999,125.434860,10971600
2019-09-17,138.360001,139.600006,138.020004,139.029999,126.115204,9081200
2019-09-18,139.929993,140.660004,139.529999,139.619995,126.650391,10984600
2019-09-19,140.759995,140.990005,139.970001,140.039993,127.031334,13176200
2019-09-20,140.770004,141.979996,140.440002,141.889999,128.709579,11519800
2019-09-23,142.240005,143.160004,141.699997,141.860001,128.682297,15246700
2019-09-24,142.419998,143.850006,142.410004,143.570007,130.233459,12421600
2019-09-25,143.259995,143.550003,141.139999,141.470001,128.328537,14147100
2019-09-26,142.270004,142.990005,141.899994,142.380005,129.154037,9636500
2019-09-27,142.320007,142.979996,142.139999,142.729996,129.471527,10386900
2019-09-30,141.880005,143.089996,141.839996,143.080002,129.789001,8006900
2019-10-01,141.259995,143.910004,141.139999,143.259995,130.179749,16613700
2019-10-02,143.460007,144.270004,143.240005,143.610001,130.497803,12891500
2019-10-03,143.979996,145.669998,143.919998,144.919998,131.688171,13470500
2019-10-04,145.350006,146.029999,145.199997,145.990005,132.660431,11516200
2019-10-07,145.160004,145.529999,144.710007,144.779999,131.560944,11013900
2019-10-08,145.820007,145.929993,144.619995,145.169998,131.915344,14529700
2019-10-09,144.600006,144.610001,143.800003,144.350006,131.170197,8608800
2019-10-10,143.119995,143.179993,141.729996,142.199997,129.216461,15054200
2019-10-11,140.979996,141.100006,139.710007,140.440002,127.617210,26294000
2019-10-14,141.479996,141.509995,141.080002,141.460007,128.544083,5936900
2019-10-15,140.669998,140.949997,139.550003,139.750000,126.990204,11832300
2019-10-16,139.639999,140.059998,139.350006,139.919998,127.144707,7729500
2019-10-17,139.520004,140.380005,139.300003,139.580002,126.835747,6219300
2019-10-18,139.809998,140.229996,139.449997,139.580002,126.835747,6456100
2019-10-21,138.570007,138.990005,138.229996,138.529999,125.881592,8038000
2019-10-22,139.380005,139.529999,138.639999,139.339996,126.617638,6683300
2019-10-23,140.029999,140.309998,139.360001,139.479996,126.744835,5995400
2019-10-24,139.679993,140.240005,139.029999,139.199997,126.490402,6161700
2019-10-25,139.529999,139.550003,138.309998,138.520004,125.872513,5669800
2019-10-28,137.580002,137.580002,136.990005,137.259995,124.727539,11402100
2019-10-29,137.619995,137.740005,137.169998,137.350006,124.809334,5296600
2019-10-30,137.770004,139.449997,137.770004,139.360001,126.635834,10914100
2019-10-31,140.479996,141.679993,140.429993,141.240005,128.344193,15834100
2019-11-01,140.729996,141.270004,139.789993,140.559998,127.949089,11425500
2019-11-04,138.970001,139.139999,138.529999,138.710007,126.265030,11124300
2019-11-05,137.220001,137.440002,136.729996,137.149994,124.845032,13493000
2019-11-06,138.020004,138.410004,137.339996,137.979996,125.600578,9351900
2019-11-07,136.350006,136.360001,134.449997,135.479996,123.324898,19209800
2019-11-08,135.149994,135.949997,134.779999,134.910004,122.806000,10222900
2019-11-11,135.380005,135.389999,134.639999,135.000000,122.887924,4577000
2019-11-12,135.279999,135.949997,134.789993,135.619995,123.452278,5772900
2019-11-13,136.809998,136.960007,136.169998,136.500000,124.253319,6672400
2019-11-14,137.800003,138.440002,137.669998,137.910004,125.536842,10213300
2019-11-15,137.479996,138.160004,137.429993,137.759995,125.400284,4657600
2019-11-18,138.210007,138.610001,137.929993,138.009995,125.627853,5943900
2019-11-19,138.369995,139.240005,138.369995,139.160004,126.674675,7893100
2019-11-20,139.910004,140.600006,139.770004,140.600006,127.985497,7905500
2019-11-21,139.639999,140.080002,139.119995,139.720001,127.184471,5980900
2019-11-22,140.100006,140.279999,139.679993,139.899994,127.348328,4664800
2019-11-25,140.300003,140.529999,140.179993,140.309998,127.721519,4157300
2019-11-26,141.000000,141.309998,140.940002,141.130005,128.467987,4281100
2019-11-27,140.600006,140.910004,140.419998,140.720001,128.094727,4095700
2019-11-29,140.619995,140.679993,139.779999,140.419998,127.821663,6251100
